years_old,year,deaths,population,Deaths per 100k
0,1999,21,3795762,0.6
0,2000,18,3805648,Unreliable
0,2001,22,4012658,0.5
0,2002,29,3951461,0.7
0,2003,25,3975871,0.6
0,2004,30,4014258,0.7
0,2005,35,4004393,0.9
0,2006,44,4041738,1.1
0,2007,33,4147997,0.8
0,2008,21,4132735,0.5
0,2009,32,4003587,0.8
0,2010,23,3944153,0.6
0,2011,24,3996537,0.6
0,2012,32,3943077,0.8
0,2013,30,3941783,0.8
0,2014,24,3948350,0.6
0,2015,29,3978038,0.7
0,,472,67638046,0.7
1,1999,12,3785088,Unreliable
1,2000,5,3820582,Unreliable
1,2001,11,3855407,Unreliable
1,2002,11,4004674,Unreliable
1,2003,16,3936139,Unreliable
1,2004,13,3953063,Unreliable
1,2005,13,3987032,Unreliable
1,2006,13,3972124,Unreliable
1,2007,24,4002215,0.6
1,2008,28,4100756,0.7
1,2009,18,4078797,Unreliable
1,2010,21,3978070,0.5
1,2011,19,3969022,Unreliable
1,2012,22,3981523,0.6
1,2013,23,3955942,0.6
1,2014,19,3962123,Unreliable
1,2015,27,3968564,0.7
1,,295,67311121,0.4
2,1999,5,3782635,Unreliable
2,2000,3,3790446,Unreliable
2,2001,9,3800096,Unreliable
2,2002,4,3856114,Unreliable
2,2003,11,4002836,Unreliable
2,2004,6,3933735,Unreliable
2,2005,10,3952632,Unreliable
2,2006,12,3988119,Unreliable
2,2007,11,3973479,Unreliable
2,2008,11,4004146,Unreliable
2,2009,7,4103002,Unreliable
2,2010,11,4096929,Unreliable
2,2011,13,3971760,Unreliable
2,2012,8,3979957,Unreliable
2,2013,12,3989135,Unreliable
2,2014,15,3957772,Unreliable
2,2015,17,3966583,Unreliable
2,,165,67149376,0.2
3,1999,4,3824806,Unreliable
3,2000,3,3832799,Unreliable
3,2001,5,3802710,Unreliable
3,2002,6,3804336,Unreliable
3,2003,5,3860727,Unreliable
3,2004,2,4008220,Unreliable
3,2005,2,3943215,Unreliable
3,2006,7,3966022,Unreliable
3,2007,5,4004011,Unreliable
3,2008,10,3992320,Unreliable
3,2009,9,4025675,Unreliable
3,2010,4,4119040,Unreliable
3,2011,6,4102285,Unreliable
3,2012,5,3982440,Unreliable
3,2013,5,3989538,Unreliable
3,2014,5,4005190,Unreliable
3,2015,8,3974061,Unreliable
3,,91,67237395,0.1
4,1999,4,3947253,Unreliable
4,2000,4,3926323,Unreliable
4,2001,1,3827346,Unreliable
4,2002,9,3812607,Unreliable
4,2003,3,3816873,Unreliable
4,2004,3,3876609,Unreliable
4,2005,5,4030128,Unreliable
4,2006,4,3970880,Unreliable
4,2007,4,3998260,Unreliable
4,2008,6,4041170,Unreliable
4,2009,6,4033457,Unreliable
4,2010,7,4063170,Unreliable
4,2011,2,4122454,Unreliable
4,2012,5,4112347,Unreliable
4,2013,3,3991690,Unreliable
4,2014,5,4003448,Unreliable
4,2015,4,4020035,Unreliable
4,,75,67594050,0.1
5,1999,2,3999762,Unreliable
5,2000,2,3965103,Unreliable
5,2001,2,3910033,Unreliable
5,2002,2,3837187,Unreliable
5,2003,4,3823568,Unreliable
5,2004,4,3829607,Unreliable
5,2005,4,3893128,Unreliable
5,2006,6,4050582,Unreliable
5,2007,4,3993489,Unreliable
5,2008,3,4024297,Unreliable
5,2009,3,4070265,Unreliable
5,2010,4,4056858,Unreliable
5,2011,4,4088149,Unreliable
5,2012,4,4132747,Unreliable
5,2013,3,4121797,Unreliable
5,2014,1,4004858,Unreliable
5,2015,2,4018158,Unreliable
5,,54,67819588,0.1
6,1999,3,4042620,Unreliable
6,2000,2,4019705,Unreliable
6,2001,1,3972508,Unreliable
6,2003,1,3837761,Unreliable
6,2004,3,3822089,Unreliable
6,2005,7,3828153,Unreliable
6,2006,4,3891329,Unreliable
6,2007,5,4046402,Unreliable
6,2008,6,3988117,Unreliable
6,2009,2,4018200,Unreliable
6,2010,2,4066381,Unreliable
6,2011,3,4074959,Unreliable
6,2012,2,4098714,Unreliable
6,2013,1,4142191,Unreliable
6,2014,3,4134352,Unreliable
6,2015,6,4019207,Unreliable
6,,51,67915742,0.1
7,1999,2,4163303,Unreliable
7,2000,2,4118147,Unreliable
7,2001,1,4012049,Unreliable
7,2002,1,3982360,Unreliable
7,2003,1,3924182,Unreliable
7,2004,1,3850646,Unreliable
7,2005,2,3838840,Unreliable
7,2006,1,3848758,Unreliable
7,2007,2,3914743,Unreliable
7,2008,1,4073291,Unreliable
7,2009,1,4017024,Unreliable
7,2010,2,4030579,Unreliable
7,2012,1,4085964,Unreliable
7,2013,3,4108053,Unreliable
7,2014,1,4154000,Unreliable
7,2015,3,4148360,Unreliable
7,,25,68353445,0
8,2000,3,4179230,Unreliable
8,2001,1,4099542,Unreliable
8,2002,2,4020970,Unreliable
8,2003,1,3991075,Unreliable
8,2004,2,3933161,Unreliable
8,2005,1,3861877,Unreliable
8,2006,2,3852265,Unreliable
8,2007,4,3863089,Unreliable
8,2008,1,3930544,Unreliable
8,2010,3,4046486,Unreliable
8,2011,1,4052957,Unreliable
8,2012,1,4094174,Unreliable
8,2015,2,4167887,Unreliable
8,,24,68568638,0
9,2001,3,4179230,Unreliable
9,2002,2,4118846,Unreliable
9,2003,2,4044265,Unreliable
9,2004,2,4018734,Unreliable
9,2006,2,3901754,Unreliable
9,2007,1,3896888,Unreliable
9,2009,2,3987064,Unreliable
9,2010,3,4148353,Unreliable
9,2011,3,4034985,Unreliable
9,2013,1,4103335,Unreliable
9,2014,2,4106832,Unreliable
9,2015,2,4133564,Unreliable
9,,25,69115598,0
10,1999,3,4148653,Unreliable
10,2000,2,4274056,Unreliable
10,2001,3,4277249,Unreliable
10,2002,4,4243816,Unreliable
10,2003,3,4205042,Unreliable
10,2004,2,4151951,Unreliable
10,2005,2,4150122,Unreliable
10,2006,1,4121105,Unreliable
10,2007,3,4075718,Unreliable
10,2008,2,4093680,Unreliable
10,2009,3,4133090,Unreliable
10,2010,2,4172541,Unreliable
10,2011,1,4134144,Unreliable
10,2012,3,4045719,Unreliable
10,2014,2,4115254,Unreliable
10,2015,3,4121289,Unreliable
10,,39,70536687,0.1
11,1999,2,4036182,Unreliable
11,2000,3,4115093,Unreliable
11,2001,5,4344913,Unreliable
11,2002,2,4295720,Unreliable
11,2003,1,4254047,Unreliable
11,2004,5,4207721,Unreliable
11,2005,2,4149228,Unreliable
11,2006,2,4141970,Unreliable
11,2007,4,4106492,Unreliable
11,2008,4,4055388,Unreliable
11,2009,4,4066605,Unreliable
11,2010,3,4114415,Unreliable
11,2011,3,4195505,Unreliable
11,2012,2,4145034,Unreliable
11,2013,2,4055918,Unreliable
11,2014,3,4085636,Unreliable
11,2015,4,4130328,Unreliable
11,,51,70500195,0.1
12,1999,3,4009910,Unreliable
12,2000,4,4075842,Unreliable
12,2001,1,4183955,Unreliable
12,2002,5,4380351,Unreliable
12,2003,6,4332987,Unreliable
12,2004,4,4293550,Unreliable
12,2005,5,4251162,Unreliable
12,2006,5,4196880,Unreliable
12,2007,11,4192002,Unreliable
12,2008,6,4159477,Unreliable
12,2009,2,4110576,Unreliable
12,2010,6,4106243,Unreliable
12,2011,4,4124205,Unreliable
12,2012,1,4206939,Unreliable
12,2013,4,4155875,Unreliable
12,2014,4,4068790,Unreliable
12,2015,4,4101021,Unreliable
12,,75,70949765,0.1
13,1999,5,4003607,Unreliable
13,2000,12,4010850,Unreliable
13,2001,12,4113191,Unreliable
13,2002,5,4209025,Unreliable
13,2003,10,4401393,Unreliable
13,2004,9,4350199,Unreliable
13,2005,7,4308851,Unreliable
13,2006,12,4264733,Unreliable
13,2007,12,4207326,Unreliable
13,2008,12,4200016,Unreliable
13,2009,10,4164413,Unreliable
13,2010,14,4118013,Unreliable
13,2011,10,4122078,Unreliable
13,2012,7,4136252,Unreliable
13,2013,8,4217964,Unreliable
13,2014,10,4169346,Unreliable
13,2015,17,4084306,Unreliable
13,,172,71081563,0.2
14,1999,10,4015012,Unreliable
14,2000,14,4052231,Unreliable
14,2001,16,4059370,Unreliable
14,2002,19,4132509,Unreliable
14,2003,12,4221884,Unreliable
14,2004,31,4408259,0.7
14,2005,21,4353216,0.5
14,2006,23,4308450,0.5
14,2007,29,4259504,0.7
14,2008,21,4198094,0.5
14,2009,16,4185880,Unreliable
14,2010,24,4165982,0.6
14,2011,19,4128920,Unreliable
14,2012,21,4135274,0.5
14,2013,11,4147439,Unreliable
14,2014,15,4232480,Unreliable
14,2015,17,4185386,Unreliable
14,,319,71189890,0.4
15,1999,19,3939152,Unreliable
15,2000,23,4019404,0.6
15,2001,30,4083878,0.7
15,2002,32,4097876,0.8
15,2003,32,4172654,0.8
15,2004,55,4264863,1.3
15,2005,46,4456969,1
15,2006,42,4406515,1
15,2007,54,4364495,1.2
15,2008,55,4318982,1.3
15,2009,39,4259907,0.9
15,2010,48,4242820,1.1
15,2011,39,4156836,0.9
15,2012,33,4144014,0.8
15,2013,36,4147445,0.9
15,2014,36,4163723,0.9
15,2015,37,4249742,0.9
15,,656,71489275,0.9
16,1999,33,4020305,0.8
16,2000,53,3975021,1.3
16,2001,68,4108304,1.7
16,2002,60,4126961,1.5
16,2003,78,4139141,1.9
16,2004,64,4213762,1.5
16,2005,76,4308145,1.8
16,2006,106,4502997,2.4
16,2007,100,4452250,2.2
16,2008,78,4411176,1.8
16,2009,88,4365338,2
16,2010,80,4316139,1.9
16,2011,74,4245479,1.7
16,2012,62,4174274,1.5
16,2013,42,4158116,1
16,2014,48,4167234,1.2
16,2015,62,4184296,1.5
16,,1172,71868938,1.6
17,1999,63,4031224,1.6
17,2000,66,4046012,1.6
17,2001,89,4028736,2.2
17,2002,97,4148590,2.3
17,2003,108,4160313,2.6
17,2004,130,4167308,3.1
17,2005,132,4239509,3.1
17,2006,134,4331493,3.1
17,2007,145,4521045,3.2
17,2008,144,4467060,3.2
17,2009,127,4421341,2.9
17,2010,122,4395295,2.8
17,2011,123,4330851,2.8
17,2012,90,4265702,2.1
17,2013,108,4191188,2.6
17,2014,95,4184706,2.3
17,2015,99,4194286,2.4
17,,1872,72124659,2.6
18,1999,109,3989843,2.7
18,2000,128,4051598,3.2
18,2001,130,4102851,3.2
18,2002,159,4084316,3.9
18,2003,188,4201835,4.5
18,2004,248,4214061,5.9
18,2005,203,4225126,4.8
18,2006,260,4301050,6
18,2007,302,4394638,6.9
18,2008,299,4588123,6.5
18,2009,232,4534634,5.1
18,2010,250,4500855,5.6
18,2011,250,4396167,5.7
18,2012,236,4354017,5.4
18,2013,212,4285609,4.9
18,2014,198,4225590,4.7
18,2015,243,4217995,5.8
18,,3647,72668308,5
19,1999,143,4104078,3.5
19,2000,182,4127855,4.4
19,2001,222,4132515,5.4
19,2002,277,4152627,6.7
19,2003,263,4123223,6.4
19,2004,317,4242558,7.5
19,2005,330,4256465,7.8
19,2006,338,4265654,7.9
19,2007,358,4335388,8.3
19,2008,379,4425539,8.6
19,2009,326,4611590,7.1
19,2010,345,4585234,7.5
19,2011,367,4514710,8.1
19,2012,266,4422695,6
19,2013,294,4376606,6.7
19,2014,305,4326394,7
19,2015,355,4262584,8.3
19,,5067,73265715,6.9
20,1999,178,3925495,4.5
20,2000,204,4049448,5
20,2001,221,4156725,5.3
20,2002,278,4158896,6.7
20,2003,321,4156877,7.7
20,2004,294,4131771,7.1
20,2005,372,4241197,8.8
20,2006,479,4248095,11.3
20,2007,458,4242404,10.8
20,2008,427,4302988,9.9
20,2009,406,4383628,9.3
20,2010,460,4519129,10.2
20,2011,455,4596113,9.9
20,2012,429,4543774,9.4
20,2013,424,4445721,9.5
20,2014,429,4418887,9.7
20,2015,474,4363440,10.9
20,,6309,72884588,8.7
21,1999,206,3763401,5.5
21,2000,221,3841082,5.8
21,2001,248,4133311,6
21,2002,330,4182678,7.9
21,2003,355,4167554,8.5
21,2004,418,4180191,10
21,2005,433,4150658,10.4
21,2006,494,4258790,11.6
21,2007,486,4257371,11.4
21,2008,508,4251950,11.9
21,2009,474,4307414,11
21,2010,540,4354294,12.4
21,2011,549,4592336,12
21,2012,551,4627509,11.9
21,2013,534,4568663,11.7
21,2014,548,4489746,12.2
21,2015,597,4456790,13.4
21,,7492,72583738,10.3
22,1999,192,3694190,5.2
22,2000,216,3758648,5.7
22,2001,265,3919316,6.8
22,2002,319,4145736,7.7
22,2003,409,4175294,9.8
22,2004,434,4173077,10.4
22,2005,457,4176096,10.9
22,2006,535,4141532,12.9
22,2007,553,4236043,13.1
22,2008,549,4232792,13
22,2009,539,4217667,12.8
22,2010,538,4264642,12.6
22,2011,644,4411032,14.6
22,2012,597,4623739,12.9
22,2013,615,4655731,13.2
22,2014,640,4612322,13.9
22,2015,721,4529472,15.9
22,,8223,71967329,11.4
23,1999,180,3562469,5.1
23,2000,232,3673582,6.3
23,2001,266,3798554,7
23,2002,328,3936927,8.3
23,2003,413,4147777,10
23,2004,464,4192674,11.1
23,2005,485,4183656,11.6
23,2006,575,4186427,13.7
23,2007,606,4143940,14.6
23,2008,575,4237432,13.6
23,2009,595,4230115,14.1
23,2010,610,4198571,14.5
23,2011,699,4311760,16.2
23,2012,666,4443539,15
23,2013,780,4652806,16.8
23,2014,786,4698584,16.7
23,2015,840,4652266,18.1
23,,9100,71251079,12.8
24,1999,228,3645874,6.3
24,2000,242,3641241,6.6
24,2001,274,3749380,7.3
24,2002,335,3819528,8.8
24,2003,452,3944186,11.5
24,2004,489,4167847,11.7
24,2005,561,4208348,13.3
24,2006,689,4201291,16.4
24,2007,613,4198241,14.6
24,2008,578,4155450,13.9
24,2009,663,4245298,15.6
24,2010,674,4249363,15.9
24,2011,690,4242591,16.3
24,2012,725,4344642,16.7
24,2013,751,4472517,16.8
24,2014,843,4692635,18
24,2015,973,4737345,20.5
24,,9780,70715777,13.8
25,1999,214,3657407,5.9
25,2000,251,3744539,6.7
25,2001,258,3659719,7
25,2002,322,3779169,8.5
25,2003,395,3842468,10.3
25,2004,485,3981519,12.2
25,2005,520,4206096,12.4
25,2006,691,4254643,16.2
25,2007,675,4245572,15.9
25,2008,648,4246210,15.3
25,2009,610,4204602,14.5
25,2010,677,4262350,15.9
25,2011,772,4267827,18.1
25,2012,719,4275138,16.8
25,2013,812,4372201,18.6
25,2014,900,4509594,20
25,2015,1120,4729564,23.7
25,,10069,70238618,14.3
26,1999,241,3666228,6.6
26,2000,261,3619660,7.2
26,2001,277,3768152,7.4
26,2002,399,3669915,10.9
26,2003,403,3771710,10.7
26,2004,466,3838225,12.1
26,2005,573,3966722,14.4
26,2006,718,4186325,17.2
26,2007,678,4222850,16.1
26,2008,675,4206583,16
26,2009,725,4197922,17.3
26,2010,792,4152305,19.1
26,2011,814,4311255,18.9
26,2012,830,4298788,19.3
26,2013,849,4300520,19.7
26,2014,972,4406472,22.1
26,2015,1082,4544416,23.8
26,,10755,69128048,15.6
27,1999,290,3935064,7.4
27,2000,283,3789800,7.5
27,2001,308,3668700,8.4
27,2002,353,3791713,9.3
27,2003,428,3688646,11.6
27,2004,482,3801676,12.7
27,2005,523,3870040,13.5
27,2006,719,4004498,18
27,2007,754,4224395,17.8
27,2008,737,4265165,17.3
27,2009,701,4250014,16.5
27,2010,766,4248869,18
27,2011,823,4181448,19.7
27,2012,837,4339574,19.3
27,2013,885,4322247,20.5
27,2014,926,4332545,21.4
27,2015,1172,4439766,26.4
27,,10987,69154160,15.9
28,1999,304,4146484,7.3
28,2000,288,3984812,7.2
28,2001,355,3766129,9.4
28,2002,372,3682001,10.1
28,2003,415,3794838,10.9
28,2004,470,3697495,12.7
28,2005,573,3805526,15.1
28,2006,637,3874154,16.4
28,2007,746,3999799,18.7
28,2008,774,4215620,18.4
28,2009,756,4250613,17.8
28,2010,818,4215249,19.4
28,2011,860,4255686,20.2
28,2012,837,4206614,19.9
28,2013,890,4360245,20.4
28,2014,1032,4351851,23.7
28,2015,1175,4364669,26.9
28,,11302,68971785,16.4
29,1999,403,4169874,9.7
29,2000,367,4242525,8.7
29,2001,354,3956647,8.9
29,2002,404,3768542,10.7
29,2003,445,3673923,12.1
